OTU_ID	NXT075Mao01	NXT075Mao02	NXT075Mao03	NXT075Mao04	NXT075Mao05	NXT075Mao06	NXT075Mao07	NXT075Mao08	NXT075Mao09	NXT075Mao100	NXT075Mao101	NXT075Mao102	NXT075Mao103	NXT075Mao104	NXT075Mao105	NXT075Mao106	NXT075Mao107	NXT075Mao108	NXT075Mao109	NXT075Mao10	NXT075Mao110	NXT075Mao111	NXT075Mao112	NXT075Mao113	NXT075Mao114	NXT075Mao115	NXT075Mao116	NXT075Mao117	NXT075Mao118	NXT075Mao119	NXT075Mao11	NXT075Mao120	NXT075Mao121	NXT075Mao122	NXT075Mao123	NXT075Mao124	NXT075Mao125	NXT075Mao126	NXT075Mao127	NXT075Mao128	NXT075Mao129	NXT075Mao12	NXT075Mao130	NXT075Mao131	NXT075Mao132	NXT075Mao133	NXT075Mao134	NXT075Mao135	NXT075Mao136	NXT075Mao137	NXT075Mao138	NXT075Mao139	NXT075Mao13	NXT075Mao140	NXT075Mao141	NXT075Mao142	NXT075Mao143	NXT075Mao144	NXT075Mao145	NXT075Mao146	NXT075Mao147	NXT075Mao148	NXT075Mao149	NXT075Mao14	NXT075Mao150	NXT075Mao151	NXT075Mao152	NXT075Mao153	NXT075Mao154	NXT075Mao155	NXT075Mao156	NXT075Mao157	NXT075Mao158	NXT075Mao159	NXT075Mao15	NXT075Mao160	NXT075Mao161	NXT075Mao162	NXT075Mao163	NXT075Mao164	NXT075Mao165	NXT075Mao166	NXT075Mao167	NXT075Mao168	NXT075Mao169	NXT075Mao16	NXT075Mao170	NXT075Mao171	NXT075Mao172	NXT075Mao173	NXT075Mao174	NXT075Mao175	NXT075Mao176	NXT075Mao177	NXT075Mao178	NXT075Mao179	NXT075Mao17	NXT075Mao180	NXT075Mao181	NXT075Mao182	NXT075Mao183	NXT075Mao184	NXT075Mao185	NXT075Mao186	NXT075Mao187	NXT075Mao188	NXT075Mao189	NXT075Mao18	NXT075Mao190	NXT075Mao191	NXT075Mao192	NXT075Mao193	NXT075Mao194	NXT075Mao195	NXT075Mao196	NXT075Mao198	NXT075Mao199	NXT075Mao19	NXT075Mao200	NXT075Mao201	NXT075Mao202	NXT075Mao203	NXT075Mao204	NXT075Mao205	NXT075Mao206	NXT075Mao207	NXT075Mao208	NXT075Mao209	NXT075Mao20	NXT075Mao210	NXT075Mao211	NXT075Mao212	NXT075Mao213	NXT075Mao214	NXT075Mao215	NXT075Mao216	NXT075Mao217	NXT075Mao218	NXT075Mao219	NXT075Mao21	NXT075Mao220	NXT075Mao221	NXT075Mao222	NXT075Mao223	NXT075Mao224	NXT075Mao225	NXT075Mao226	NXT075Mao227	NXT075Mao228	NXT075Mao229	NXT075Mao22	NXT075Mao230	NXT075Mao231	NXT075Mao232	NXT075Mao233	NXT075Mao234	NXT075Mao235	NXT075Mao236	NXT075Mao237	NXT075Mao238	NXT075Mao23	NXT075Mao240	NXT075Mao241	NXT075Mao242	NXT075Mao243	NXT075Mao244	NXT075Mao245	NXT075Mao246	NXT075Mao247	NXT075Mao248	NXT075Mao249	NXT075Mao24	NXT075Mao250	NXT075Mao251	NXT075Mao252	NXT075Mao253	NXT075Mao254	NXT075Mao255	NXT075Mao256	NXT075Mao257	NXT075Mao258	NXT075Mao259	NXT075Mao25	NXT075Mao260	NXT075Mao261	NXT075Mao262	NXT075Mao263	NXT075Mao264	NXT075Mao265	NXT075Mao266	NXT075Mao267	NXT075Mao268	NXT075Mao269	NXT075Mao26	NXT075Mao270	NXT075Mao271	NXT075Mao272	NXT075Mao273	NXT075Mao274	NXT075Mao275	NXT075Mao276	NXT075Mao277	NXT075Mao278	NXT075Mao279	NXT075Mao27	NXT075Mao280	NXT075Mao281	NXT075Mao282	NXT075Mao283	NXT075Mao284	NXT075Mao285	NXT075Mao286	NXT075Mao287	NXT075Mao288	NXT075Mao289	NXT075Mao28	NXT075Mao290	NXT075Mao29	NXT075Mao30	NXT075Mao31	NXT075Mao32	NXT075Mao33	NXT075Mao34	NXT075Mao35	NXT075Mao36	NXT075Mao37	NXT075Mao38	NXT075Mao39	NXT075Mao40	NXT075Mao41	NXT075Mao42	NXT075Mao43	NXT075Mao44	NXT075Mao45	NXT075Mao46	NXT075Mao47	NXT075Mao48	NXT075Mao49	NXT075Mao50	NXT075Mao51	NXT075Mao52	NXT075Mao53	NXT075Mao54	NXT075Mao55	NXT075Mao56	NXT075Mao57	NXT075Mao58	NXT075Mao59	NXT075Mao60	NXT075Mao61	NXT075Mao62	NXT075Mao63	NXT075Mao64	NXT075Mao65	NXT075Mao66	NXT075Mao67	NXT075Mao68	NXT075Mao69	NXT075Mao70	NXT075Mao71	NXT075Mao72	NXT075Mao73	NXT075Mao74	NXT075Mao75	NXT075Mao76	NXT075Mao77	NXT075Mao78	NXT075Mao79	NXT075Mao80	NXT075Mao81	NXT075Mao82	NXT075Mao83	NXT075Mao84	NXT075Mao85	NXT075Mao86	NXT075Mao87	NXT075Mao88	NXT075Mao89	NXT075Mao90	NXT075Mao91	NXT075Mao92	NXT075Mao93	NXT075Mao94	NXT075Mao95	NXT075Mao96	NXT075Mao97	NXT075Mao98	NXT075Mao99	taxonomy
zOTU_9	0	0	0	0	0	0	0	0	0	12	9	743	3	2	2	7	1	0	0	0	10	706	0	350	0	0	11	449	0	0	0	46	335	1	281	959	0	0	126	132	0	0	0	453	2	2	1	0	142	56	187	10	0	142	0	222	0	0	0	0	45	268	59	0	168	563	0	19	0	45	15	9	0	567	0	2	13	0	913	0	3	300	33	770	2221	0	1810	0	1818	2070	23	39	0	2310	1650	184	0	46	1115	12	513	0	0	94	1429	686	4747	0	4	1365	0	6114	3728	4360	8113	0	3550	0	1964	5010	4459	4966	4596	3055	4281	2973	3420	2763	0	4742	5587	3492	3458	2461	2643	3291	3811	6197	8008	0	6097	7244	3851	3091	4739	4856	3134	4637	3431	3111	0	4030	1861	3747	6922	4050	5017	1628	6201	2967	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4292	4245	3828	0	0	0	0	2606	244	783	399	13	35	0	146	1132	2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	442	416	0	111	0	0	1031	1571	0	0	31	0	11	791	533	0	0	3	0	0	81	435	1173	0	1	25	136	0	109	0	0	60	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
zOTU_1182	0	0	0	0	0	0	0	0	0	10	0	0	23	46	0	1	2	0	3	0	8	4	11	6	0	0	8	1	7	0	0	2	3	0	1	0	17	5	0	0	0	0	0	0	1	2	18	0	0	0	0	0	0	1	3	0	0	0	2	0	42	37	2	0	0	4	110	13	0	0	1	0	2	1	0	2	9	2	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1	4	0	0	0	0	0	0	13	2	0	3	1	1	3	0	1	0	2	0	0	0	0	0	2	1	2	1	0	0	14	2	29	0	1	0	11	6	0	0	3	2	1	2	0	0	0	0	1	0	0	0	20	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	14	0	0	0	0	0	16	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	12	9	7	0	0	15	12	6	0	50	15	0	15	0	0	0	0	0	0	0	0	0	0	2	1	0	0	6	0	0	0	0	9	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
zOTU_2784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	10	52	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__
zOTU_4201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina;s__
zOTU_1669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	14	0	0	0	0	27	2	12	0	0	0	1	118	57	6	0	0	0	6	12	0	0	13	24	7	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Macrococcus;s__caseolyticus
zOTU_1805	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	11	0	0	0	0	0	2	2	1	0	2	1	0	2	4	1	0	0	1	0	0	0	0	1	7	0	1	0	0	0	4	0	0	0	0	15	0	0	0	6	1	0	0	21	0	0	0	1	0	0	0	1	0	1	0	0	1	5	0	2	0	0	0	1	0	31	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	2	2	9	7	3	0	3	5	4	0	0	0	1	3	12	0	1	5	4	2	0	0	13	17	2	1	2	0	0	2	5	1	0	0	8	0	0	0	0	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	15	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	1	0	2	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	2	0	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
zOTU_5315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae
zOTU_58	1134	0	0	80	76	0	2	0	259	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	2072	0	0	0	0	0	0	0	0	0	0	2401	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	3722	0	0	0	0	0	0	0	0	0	0	4433	0	0	0	0	0	0	0	0	0	0	7146	0	0	0	0	0	0	0	0	0	9915	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	216	1283	83	278	897	368	392	14	12	14	4	0	0	1022	5376	1350	2300	7	6	7	11	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	28	0	0	1341	0	14	0	0	0	83	490	0	8	206	20	99	42	0	63	4	0	0	0	2	395	0	0	0	1	0	0	4	3	1	6	7	28	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium
zOTU_593	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	34	1	0	0	0	1	0	0	38	3	0	0	4	0	0	0	10	0	180	0	3	394	38	1	14	0	0	0	0	0	0	0	0	3	6	0	3	0	0	0	0	0	0	0	3	0	1	0	0	0	43	0	108	0	0	12	0	5	41	0	5	34	0	15	60	0	0	1	0	7	0	10	0	2	2	0	0	0	0	16	0	0	0	0	3	0	0	7	0	3	0	0	0	4	0	0	0	142	0	35	0	13	0	11	0	1	0	17	16	0	157	0	86	0	49	10	35	0	0	0	51	3	135	85	0	0	2	26	1	2	0	7	0	0	54	0	19	0	0	0	0	107	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	31	0	6	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	5	6	0	1	0	1	1	0	4	0	30	0	0	0	8	0	0	0	12	0	11	0	220	0	0	0	16	0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__;s__
zOTU_5615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__
zOTU_3516	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	1	11	0	0	0	0	0	6	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
zOTU_2402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	19	0	21	0	0	0	26	0	0	0	0	15	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	62	0	2	10	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
zOTU_4727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__;s__
zOTU_5422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__
zOTU_1718	2	1	0	2	2	4	5	5	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	18	0	0	7	2	3	2	0	1	0	4	15	2	1	3	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	5	12	0	35	6	4	4	10	0	11	10	31	1	0	1	0	2	2	0	0	0	5	0	0	0	5	4	11	11	12	4	5	0	8	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__
zOTU_1501	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	7	0	0	3	0	2	0	0	0	0	0	0	2	6	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	10	1	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	2	7	3	3	0	1	0	21	24	7	4	0	1	0	29	28	31	0	5	5	1	20	1	0	32	2	19	17	0	10	17	0	0	3	0	6	3	6	8	0	2	25	3	12	0	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	1	0	0	3	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	5	0	1	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
zOTU_5887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
